source	zh
14-byte LBA7 pass-info current-v0206.	14 字节 LBA7 密码信息，v0206 当前版 版本。
14-byte LBA7 pass-info legacy-v0064.	14 字节 LBA7 密码信息，v0064 旧版 版本。
14-byte pass-info.	14 字节 密码信息。
2*CRC32(device_id) compatibility guard.	2*CRC32(device_id) 兼容性校验值。
252-byte random key material	252 字节随机密钥材料
3x96B EDPF table; key mode A7F0/A6B0.	3*96B EDPF 表；密钥模式为 A7F0/A6B0。
3x96B EDPF table; key mode AES-128-ECB.	3*96B EDPF 表；密钥模式为 AES-128-ECB。
3x96B EDPF table; key mode SM4-ECB.	3*96B EDPF 表；密钥模式为 SM4-ECB。
3x96B EDPF table; key mode legacy-v0064 compatibility.	3*96B EDPF 表；密钥模式为 v0064 旧版 兼容模式。
Absent EETU/zero state.	EETU 缺失/全零状态。
Absent GPT entry sector.	GPT 条目扇区缺失状态。
Absent GPT primary-header sector.	GPT 主头扇区缺失状态。
Absent/zero entry2.	entry2 缺失/全零状态。
Active GPT entry0.	有效的 GPT entry0。
All-zero manufacturer metadata.	全零的制造商元数据。
Autonum slot; post-NUL backing.	Autonum 槽；NUL 后为保留底层字节。
Backing before EPPE payload.	EPPE 负载之前的保留底层字节。
Backing outside SAPF payload.	SAPF 负载之外的保留底层字节。
Backing outside long-User payload.	长 User 负载之外的保留底层字节。
BeiZhu first byte/empty NUL.	BeiZhu 首字节/空值 NUL。
BeiZhu tail or post-NUL backing.	BeiZhu 尾部或 NUL 后保留底层字节。
Byte63 NUL seam.	第 63 字节为 NUL 拼接边界。
Byte63 post-NUL backing.	第 63 字节为 NUL 后保留底层字节。
Byte63 stores Dept[59].	第 63 字节保存 Dept[59]。
CRC32(device_id).	CRC32(device_id)。
Caller extension	调用方扩展区
Clear $$$onlyid$$$ header.	明文 $$$onlyid$$$ 头。
Continuation begins Dept[59].	续段从 Dept[59] 开始。
Continuation begins Dept[60].	续段从 Dept[60] 开始。
Cross-profile preserved compatibility backing.	跨 配置类型 原样保留的兼容性底层字节。
Current HSerial vector is zero.	当前 HSerial 向量为全零。
Current host-hardinfo is zero.	当前 host-hardinfo 为全零。
Current main-onlyid text + zero DWORD.	当前 main-onlyid 文本 + 全零 DWORD。
DRKB magic	DRKB 魔数
Dedicated BeiZhu NUL.	BeiZhu 专用 NUL。
Dedicated GSerial NUL.	GSerial 专用 NUL。
