id	modality	subject	version	sha256	locator	anchors	proves	limitations
P-LBA7-COMPAT-LEXAR	physical	Lexar LBA7 compatibility extent ciphertext	2026-06-12 capture revalidated 2026-09-23	fbf45d4713664d1e68eca634e8e9c04565be8b60d9ad4e1a18b7df3c766aaa24	audit/protocol/lba7_compatibility/gold/lexar_lba7_compat_lba243623933.bin	LBA243623933..243623938; 3072 bytes	real-device ciphertext at the compatibility pointer	single physical profile
P-LBA7-LEXAR	physical	matching Lexar LBA0-LBA12 metadata capture	2026-08-27	a1faab7535e06bcd54ab08b3b1afeedb14507a20cd81574c34bbca947c40ee5f	audit/protocol/gold/strict-encrypted/disk4_243625984_vid21c4_pid0cd1_disk&ven_lexar&prod_usb_flash_drive_onlyid3164177653_20260827_221910.bin	LBA7 mode0 sequence [1,2,4]; entry1 type2 and entry2 type4 share StartSector=243623933 PartionSize=3072	physical cross-check of official producer geometry	does not by itself define the producer rule
P-LBA7-COMPAT-SANDISK	physical	SanDisk no-password LBA7 compatibility extent ciphertext	2026-09-23 live read-only capture	aaeffbba440e553c2eb47accac54552c9b53af9d4951f728ac700a2e81aca0a0	audit/protocol/lba7_compatibility/live_captures/sandisk_nopwd_20260923/lba7_compat_extent.bin	LBA120164408..120164413; 3072 bytes	real-device ciphertext for a two-entry LBA7 profile	one no-password profile
S-LBA7-SOURCE-NAMING	static	first-party Linux DWARF naming for old/new EDP partition structures	captured libcemsfilesyscheck.so	8d1819941580274d2c33f2f9f834daafd9b0d44288b5bf3eaee62227abffaff2	audit/protocol/lba7_compatibility/evidence/source_naming_dwarf_20260923.json	tagEdpPartionInfo; EDP_PARTION_INFO; BuildSector7; GetPartionFromOld; StartSector/SectorSize/PartionSize	first-party names for the old table and conversion routines	no standalone vendor symbol for the 0xC00 payload object
S-LBA7-OFFICIAL-PRODUCER	static	first-party Windows label-tool producer chain	2026-09-23	f24393c1113bb2d6b67b5e39af7b49f881bd8762685970a35a564ad3c1ae2d49	audit/protocol/lba7_compatibility/evidence/official_lba7_producer_20260923.json	original label-tool radios -> mode byte -> BusManage -> CEMSUsbRegsiter -> CreatePartitions -> LBA7	mode0/1/2/3 matrices; PartionType 1/2/4 semantics; entry0 versus later-entry geometry; same-address is not alias	matrix proven for captured 2026 producer stack, not automatically every historical release
S-LBA7-COMPAT-LOCATOR	static	fixed compatibility-extent CHS locator in LBA7 producer	2026-09-22 closure	8241754138c70621bed718a0fef81a061e060dc6ffc047f7095fd1d98025d679	audit/protocol/lba7_compatibility/evidence/lba7_compat_locator_algorithm_20260922.json	DISK_GEOMETRY product minus 0xE0000; align_up(0xC00)	official physical address-generation rule and device cross-check	does not establish payload plaintext by itself
S-LBA7-COMPAT-FALLBACK	static	legacy EdpEDiskCtrl old-table fallback mount	2026-09-23 closure	5d8ffe2a11e283bcb8aacb0c149dfb2e2b9f16500d1cc71a02cd06ec73bb0c88	audit/protocol/lba7_compatibility/evidence/lba7_compat_fallback_mount_20260923.json	LBA7 old entry -> runtime partition -> EdpMountFile	legacy compatibility-pointer entry can be consumed as a mounted backing extent	conditional fallback path, not current LBA12 normal path
S-LBA7-COMPAT-WRITE	static	EdpEDisk64 mounted-extent physical write mapping	2026-09-23 closure	f365dd5a86dfb45e176fdc1e0ea94f7c81714960f844f142a5ad9c788ab0f8c0	audit/protocol/lba7_compatibility/evidence/lba7_compat_conditional_write_20260923.json	virtual bounds; backing_offset+virtual_offset; ZwWriteFile	generic driver path can write all 3072 bytes of a mounted compatibility extent	does not prove a sampled disk historically took that conditional write path
S-EDPSECDISK-CIPHER	static	EDPSECDISK counter-tweaked AES-128 transform	2026-09-23 closure	1f8a23b63d6b61cdc63d028d70071e2ccef8fbf31dec2fd2d594aaa2c23aed15	audit/protocol/lba7_compatibility/evidence/edpsecdisk_cipher_profile_20260923.json	8-byte key branch; EDPSECDISK200709; physical byte-offset tweak	cipher family and driver transform semantics	final payload closure is established separately by S-LBA7-COMPAT-CLOSURE
S-LBA7-COMPAT-OLD-DRIVER	static	old/current driver transform equivalence	2026-09-23 closure	11e07a591572cb62d39a6897dc743aae790c2bace8a4a95a473d7b4587ff4934	audit/protocol/lba7_compatibility/evidence/legacy_old_driver_transform_equivalence_20260923.json	old and current driver entrypoints produce identical transform results	cross-version transform equivalence for the tested driver path	does not define label-tool mode generation
S-LBA7-COMPAT-CLOSURE	static	fixed FAT16 plaintext plus zero8 physical-offset bit-exact closure	2026-09-23	1480cc5198c90324d8245eb4728b4e06a7739a475bccc915d00e4d130108d8d0	audit/protocol/lba7_compatibility/evidence/lba7_compat_fat16_zero8_closure_20260923.json	vrvaud_c 3072B template; zero8; StartSector*512 tweak; Lexar and SanDisk bit-exact reconstructions	all 3072 payload bytes, format, crypto, key, tweak and two real-device reconstructions	payload closure is independent from which PartionType points to the compatibility extent
