field_id	lba	start	end	length	profile_axis	profile	semantic_type	meaning	decode_rule	encode_rule	ownership	evolution_kind	producer_evidence	consumer_evidence	physical_evidence	implementation_provenance	code_symbol	test_symbol	semantic_status	implementation_status	behavior_test_status	ownership_test_symbol
lba0.compat_190_19f	0	190	19f	16	base	all	UnownedBacking	Cross-profile preserved compatibility backing.	No EDP payload semantics.	Preserve bytes.	owner	Stable	S-WIN-CURRENT;S-NETAC-MBR	S-WIN-CURRENT	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.compat_1a4_1b4	0	1a4	1b4	17	base	all	UnownedBacking	Preserved compatibility backing after optional SectorSize.	No EDP payload semantics.	Preserve bytes.	owner	Stable	S-WIN-CURRENT;S-NETAC-MBR	S-WIN-CURRENT	P-GOLD-ENC	Canonical COMPLETE semantics; provenance limits remain documented.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.legacy_message_ptrs	0	1b5	1b7	3	base	all	CompatibilityField	Legacy MBR error-message pointer bytes.	Interpret only with UsbMainBSec bootstrap.	Keep template bytes or zero state.	owner	AddedRemoved	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC	Canonical COMPLETE semantics; provenance limits remain documented.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.mbr_disk_signature	0	1b8	1bb	4	base	all	Scalar	Standard MBR disk signature.	Decode LE u32.	Preserve standard signature.	owner	Stable	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC	Canonical COMPLETE semantics; provenance limits remain documented.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.mbr_reserved	0	1bc	1bd	2	base	all	UnownedBacking	Standard MBR reserved word.	No EDP business meaning.	Preserve bytes.	owner	Stable	S-WIN-CURRENT;S-NETAC-MBR	S-WIN-CURRENT	P-GOLD-ENC	Canonical COMPLETE semantics; provenance limits remain documented.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.partition_table	0	1be	1fd	64	base	all	PackedStruct	Four standard MBR partition entries.	Decode four 16-byte entries.	Serialize/restore MBR entries.	owner	Stable	S-WIN-CURRENT;S-NETAC-MBR	S-REPAIR-CURRENT	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.signature_55aa	0	1fe	1ff	2	base	all	Scalar	MBR 55AA signature.	Validate 55 AA.	Write 55 AA.	owner	Stable	S-WIN-CURRENT;S-NETAC-MBR	S-REPAIR-CURRENT	P-GOLD-ENC	Canonical COMPLETE semantics; provenance limits remain documented.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba4.onlyid_header	4	000	017	24	base	all	CString	Clear $$$onlyid$$$ header.	Parse main onlyid.	Format canonical header.	owner	Stable	S-WIN-CURRENT;S-WIN-191141	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba4::onlyid_header	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba5.write_probe_scratch	5	000	1ff	512	base	all	OpaquePreserve	Opaque write-protection probe scratch sector.	Treat payload as opaque.	Preserve exact sector.	owner	Stable	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC	Canonical COMPLETE semantics; provenance limits remain documented.	edpcli::protocol::lba5::parse_lba5	basic_behavior::opaque_sectors_preserve_every_byte_without_inventing_manufacturer_semantics	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.template_040_04f	6	040	04f	16	base	all	CompatibilityField	UsbMainBSec static template.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::template_040_04f	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
