axis	state	role	ranges	effect_kind	description	evidence
lba0_bootstrap	zero	owner	0:000-18f	ProducerChanged	LBA0 bootstrap family; upper-layer selector provenance is separate from wire semantics.	S-WIN-CURRENT;S-NETAC-MBR;P-GOLD-ENC
lba0_bootstrap	usb-main-bsec	owner	0:000-18f	ProducerChanged	LBA0 bootstrap family; upper-layer selector provenance is separate from wire semantics.	S-WIN-CURRENT;S-NETAC-MBR;P-GOLD-ENC
lba0_bootstrap	netac-mbr	owner	0:000-18f	ProducerChanged	LBA0 bootstrap family; upper-layer selector provenance is separate from wire semantics.	S-WIN-CURRENT;S-NETAC-MBR;P-GOLD-ENC
lba0_sector_size_overlay	absent	owner	0:1a0-1a3	AddedRemoved	Optional SAFE1/legacy SectorSize overlay independent from bootstrap family.	S-WIN-CURRENT;P-GOLD-ENC
lba0_sector_size_overlay	sector-size-512	owner	0:1a0-1a3	AddedRemoved	Optional SAFE1/legacy SectorSize overlay independent from bootstrap family.	S-WIN-CURRENT;P-GOLD-ENC
gpt_layout	absent	owner	1:000-1ff;2:000-1ff	AddedRemoved	GPT LBA1/LBA2 presence is independent from SAFE6 metadata profiles.	V-GPT;P-GOLD-ENC
gpt_layout	enabled	owner	1:000-1ff;2:000-1ff	AddedRemoved	GPT LBA1/LBA2 presence is independent from SAFE6 metadata profiles.	V-GPT;P-GOLD-ENC
lba3_metadata	zero	owner	3:000-1ff	ProducerChanged	Manufacturer MP metadata states share the EDP preserve-only lifecycle.	S-WIN-CURRENT;S-WIN-191141-LBA3;P-GOLD-ENC
lba3_metadata	kingston-mp-a	owner	3:000-1ff	ProducerChanged	Manufacturer MP metadata states share the EDP preserve-only lifecycle.	S-WIN-CURRENT;S-WIN-191141-LBA3;P-GOLD-ENC
lba3_metadata	historical-mp-b	owner	3:000-1ff	ProducerChanged	Manufacturer MP metadata states share the EDP preserve-only lifecycle.	S-WIN-CURRENT;S-WIN-191141-LBA3;P-GOLD-ENC
lba4_encoding	post-xor	owner	4:018-1ff	EncodingChanged	Restore-node logical fields are stable while wire representation differs.	S-WIN-CURRENT;S-WIN-191141;V-LBA4;V-LBA4-V19
lba4_encoding	ordinary-rolling	owner	4:018-1ff	EncodingChanged	Restore-node logical fields are stable while wire representation differs.	S-WIN-CURRENT;S-WIN-191141;V-LBA4;V-LBA4-V19
dept_layout	short	owner	6:000-03f;9:080-0ff	OwnershipChanged	Dept seam is an independent serialization axis spanning LBA6 and LBA9.	S-JOIN59-SEMANTIC;P-GOLD-ENC
dept_layout	join59	owner	6:000-03f;9:080-0ff	OwnershipChanged	Dept seam is an independent serialization axis spanning LBA6 and LBA9.	S-JOIN59-SEMANTIC;P-GOLD-ENC
dept_layout	join60	owner	6:000-03f;9:080-0ff	OwnershipChanged	Dept seam is an independent serialization axis spanning LBA6 and LBA9.	S-JOIN59-SEMANTIC;P-GOLD-ENC
lba6_mbr_underlay	zero-underlay	owner	6:1e0-1ed	OwnershipChanged	Post-NUL LBA6 slice is zero backing or surviving MBR entry3 snapshot.	S-MBR-SNAPSHOT-SEMANTIC;P-GOLD-ENC
